t,x_x,x_y,x_z,x_vx,x_vy,x_vz,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31,P_32,P_33,P_34,P_35
0.155,0.002558768096510936,-0.016788106781221047,-0.0008999999998593466,0.0,0.0,0.0,0.00020169168942436435,0.0,0.0,2.0198961178045544e-05,0.0,0.0,0.0,0.00020169168942436435,0.0,0.0,2.0198961178045544e-05,0.0,0.0,0.0,0.00020169168942436435,0.0,0.0,2.0198961178045544e-05,2.0198961178045544e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.0198961178045544e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.0198961178045544e-05,0.0,0.0,4e-06
0.16,0.002558768096510936,-0.016788106781221047,-0.0008999999998593466,0.0,0.0,0.0,0.0002018913978494627,0.0,0.0,2.02e-05,0.0,0.0,0.0,0.0002018913978494627,0.0,0.0,2.02e-05,0.0,0.0,0.0,0.0002018913978494627,0.0,0.0,2.02e-05,2.02e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.02e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.02e-05,0.0,0.0,4e-06
0.165,0.002558768096510936,-0.016788106781221047,-0.0008999999998593466,0.0,0.0,0.0,0.00020209052170450066,0.0,0.0,2.02e-05,0.0,0.0,0.0,0.00020209052170450066,0.0,0.0,2.02e-05,0.0,0.0,0.0,0.00020209052170450066,0.0,0.0,2.02e-05,2.02e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.02e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.02e-05,0.0,0.0,4e-06
0.17,0.002558768096510936,-0.016788106781221047,-0.0008999999998593466,0.0,0.0,0.0,0.00020228964555953863,0.0,0.0,2.02e-05,0.0,0.0,0.0,0.00020228964555953863,0.0,0.0,2.02e-05,0.0,0.0,0.0,0.00020228964555953863,0.0,0.0,2.02e-05,2.02e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.02e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.02e-05,0.0,0.0,4e-06
0.17500000000000002,0.002558768096510936,-0.016788106781221047,-0.0008999999998593466,0.0,0.0,0.0,0.00020248876941457658,0.0,0.0,2.02e-05,0.0,0.0,0.0,0.00020248876941457658,0.0,0.0,2.02e-05,0.0,0.0,0.0,0.00020248876941457658,0.0,0.0,2.02e-05,2.02e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.02e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.02e-05,0.0,0.0,4e-06
0.18,0.14457996232924286,-0.05662104775947749,-0.00033617837612112634,0.014065865777735238,0.0034126045663281693,5.9349644631794244e-05,0.0002013130071073641,0.0,0.0,2.0081300710736412e-05,0.0,0.0,0.0,0.0002013130071073641,0.0,0.0,2.0081300710736412e-05,0.0,0.0,0.0,0.0002013130071073641,0.0,0.0,2.0081300710736412e-05,2.0081300710736412e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.0081300710736412e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.0081300710736412e-05,0.0,0.0,4e-06
0.185,0.29508991806491014,-0.09883484701562457,0.00026134348031805533,0.02897246367692996,0.007029184225415497,0.00012224668218113906,0.00020005506635637722,0.0,0.0,1.995550663563772e-05,0.0,0.0,0.0,0.00020005506635637722,0.0,0.0,1.995550663563772e-05,0.0,0.0,0.0,0.00020005506635637722,0.0,0.0,1.995550663563772e-05,1.995550663563772e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.995550663563772e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.995550663563772e-05,0.0,0.0,4e-06
0.19,0.44559987380057736,-0.1410486462717717,0.0008588653367572368,0.04387906157612468,0.010645763884502824,0.00018514371973048387,0.00019879712560539033,0.0,0.0,1.9829712560539032e-05,0.0,0.0,0.0,0.00019879712560539033,0.0,0.0,1.9829712560539032e-05,0.0,0.0,0.0,0.00019879712560539033,0.0,0.0,1.9829712560539032e-05,1.9829712560539032e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.9829712560539032e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.9829712560539032e-05,0.0,0.0,4e-06
0.195,0.48115032534620544,-0.15101954565631584,0.0009999999992515995,0.03420607871727907,0.008298943148706949,0.00014432944606446865,0.00019872268221574212,0.0,0.0,1.9827835276967765e-05,0.0,0.0,0.0,0.00019872268221574212,0.0,0.0,1.9827835276967765e-05,0.0,0.0,0.0,0.00019872268221574212,0.0,0.0,1.9827835276967765e-05,1.9827835276967765e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.9827835276967765e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.9827835276967765e-05,0.0,0.0,4e-06
0.2,0.48115032534620544,-0.15101954565631584,0.0009999999992515995,0.016932026239117215,0.004107981049574852,7.14431486882583e-05,0.00019901422740524697,0.0,0.0,1.986427842565587e-05,0.0,0.0,0.0,0.00019901422740524697,0.0,0.0,1.986427842565587e-05,0.0,0.0,0.0,0.00019901422740524697,0.0,0.0,1.986427842565587e-05,1.986427842565587e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.986427842565587e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.986427842565587e-05,0.0,0.0,4e-06
0.20500000000000002,0.48115032534620544,-0.15101954565631584,0.0009999999992515995,0.0,0.0,0.0,0.00019930687553051886,0.0,0.0,1.9900763947835428e-05,0.0,0.0,0.0,0.00019930687553051886,0.0,0.0,1.9900763947835428e-05,0.0,0.0,0.0,0.00019930687553051886,0.0,0.0,1.9900763947835428e-05,1.9900763947835428e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.9900763947835428e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.9900763947835428e-05,0.0,0.0,4e-06
